fecha,numero_clase,titulo,tipo,responsable,modalidad,estado,comision,link_canva,link_parcial,notas
2026-06-03,16,Plataformas digitales y estrategia,teorica,Emilio,presencial,pendiente,all,https://canva.com/plataformas,,
2026-06-05,17,Práctica: Análisis de ecosistemas,practica,Docente Com. 1,presencial,pendiente,all,,,
2026-06-05,18,Práctica: Análisis de ecosistemas,practica,Docente Com. 2,presencial,pendiente,all,,,
2026-06-10,19,Taller de innovación aplicada,taller,Emilio,presencial,pendiente,all,,,"Trabajar en grupos de 3 personas"
2026-06-12,20,Taller com. 1,practica,Docente Com. 1,presencial,pendiente,all,,,
2026-06-12,21,Taller com. 2,practica,Docente Com. 2,presencial,pendiente,all,,,
2026-06-17,22,Invitado: Founder de startup EdTech,invitado,Emilio,presencial,pendiente,all,,,
2026-06-24,23,Segundo Parcial,parcial,Emilio,presencial,pendiente,all,,https://drive.google.com/parcial2,
2026-07-01,24,Recuperatorio Segundo Parcial,recuperatorio,Emilio,presencial,pendiente,all,,,
2026-07-08,25,Exposición final de proyectos - Comisión 1,exposicion,Emilio,presencial,pendiente,all,,,
2026-07-10,26,Exposición final de proyectos - Comisión 2,exposicion,Emilio,presencial,pendiente,all,,,
2026-07-15,27,Cierre del semestre,proyecto,Emilio,presencial,pendiente,all,,,"Entrega final de proyectos y cierre académico"
